# 20171213 Pull from Ensembl biomart
# Dataset: Mouse genes (GRCm38.p5)
# Filters: With miRBase ID(s): Only
# Attributes: miRBase ID
# Attributes: Gene stable ID
# miRBase accession	Gene stable ID
mmu-mir-871	ENSMUSG00000096628
mmu-mir-324	ENSMUSG00000065534
mmu-mir-1945	ENSMUSG00000088544
mmu-mir-6946	ENSMUSG00000098602
mmu-mir-1930	ENSMUSG00000089424
mmu-mir-6904	ENSMUSG00000098926
mmu-mir-6349	ENSMUSG00000098833
mmu-mir-1894	ENSMUSG00000084751
mmu-mir-7046	ENSMUSG00000098802
mmu-mir-6379	ENSMUSG00000098417
mmu-mir-7657	ENSMUSG00000104773
mmu-mir-8103	ENSMUSG00000098769
mmu-mir-7688	ENSMUSG00000098679
mmu-mir-758	ENSMUSG00000076459
mmu-mir-5134	ENSMUSG00000093270
mmu-mir-7218	ENSMUSG00000106215
mmu-mir-5130	ENSMUSG00000092901
mmu-let-7f-2	ENSMUSG00000065602
mmu-mir-1198	ENSMUSG00000080645
mmu-mir-19b-2	ENSMUSG00000065473
mmu-mir-6409	ENSMUSG00000098817
mmu-mir-3102	ENSMUSG00000093296
mmu-mir-466m	ENSMUSG00000092793
mmu-mir-152	ENSMUSG00000065515
mmu-mir-6952	ENSMUSG00000098451
mmu-mir-1962	ENSMUSG00000088141
mmu-mir-6381	ENSMUSG00000098871
mmu-mir-291b	ENSMUSG00000078032
mmu-mir-6388	ENSMUSG00000098336
mmu-mir-3071	ENSMUSG00000070129
mmu-mir-7056	ENSMUSG00000098960
mmu-mir-6966	ENSMUSG00000098329
mmu-mir-6378	ENSMUSG00000098862
mmu-mir-3062	ENSMUSG00000092727
mmu-mir-3618	ENSMUSG00000093246
mmu-mir-1942	ENSMUSG00000087899
mmu-mir-7669	ENSMUSG00000098397
mmu-mir-6382	ENSMUSG00000099128
mmu-mir-1948	ENSMUSG00000087950
mmu-mir-3535	ENSMUSG00000104627
mmu-mir-7673	ENSMUSG00000099072
mmu-mir-669a-2	ENSMUSG00000076014
mmu-mir-7210	ENSMUSG00000105723
mmu-mir-5112	ENSMUSG00000092638
mmu-mir-381	ENSMUSG00000098838
mmu-mir-711	ENSMUSG00000076142
mmu-mir-194-2	ENSMUSG00000065582
mmu-mir-382	ENSMUSG00000065428
mmu-mir-3969	ENSMUSG00000106074
mmu-mir-496b	ENSMUSG00000098718
mmu-mir-669a-1	ENSMUSG00000095699
mmu-mir-6403	ENSMUSG00000099289
mmu-mir-181c	ENSMUSG00000065483
mmu-mir-5100	ENSMUSG00000092734
mmu-mir-344g	ENSMUSG00000092850
mmu-mir-1958	ENSMUSG00000087844
mmu-mir-1952	ENSMUSG00000088983
mmu-mir-20b	ENSMUSG00000076041
mmu-mir-298	ENSMUSG00000065410
mmu-mir-7116	ENSMUSG00000104854
mmu-mir-669a-4	ENSMUSG00000106488
mmu-mir-669a-5	ENSMUSG00000106488
mmu-mir-669a-6	ENSMUSG00000106488
mmu-mir-669a-7	ENSMUSG00000106488
mmu-mir-669a-8	ENSMUSG00000106488
mmu-mir-669a-9	ENSMUSG00000106488
mmu-mir-669a-10	ENSMUSG00000106488
mmu-mir-669a-11	ENSMUSG00000106488
mmu-mir-669a-12	ENSMUSG00000106488
mmu-mir-7658	ENSMUSG00000098954
mmu-mir-8108	ENSMUSG00000099142
mmu-mir-323	ENSMUSG00000065617
mmu-let-7e	ENSMUSG00000105758
mmu-mir-2136	ENSMUSG00000089406
mmu-mir-466b-3	ENSMUSG00000076994
mmu-mir-202	ENSMUSG00000065502
mmu-mir-669a-1	ENSMUSG00000096583
mmu-mir-6336	ENSMUSG00000098660
mmu-mir-376b	ENSMUSG00000105853
mmu-mir-363	ENSMUSG00000070106
mmu-mir-8095	ENSMUSG00000099071
mmu-mir-5116	ENSMUSG00000092787
mmu-let-7d	ENSMUSG00000065453
mmu-mir-7051	ENSMUSG00000099210
mmu-mir-1197	ENSMUSG00000080687
mmu-mir-7004	ENSMUSG00000105496
mmu-mir-5123	ENSMUSG00000096377
mmu-mir-3076	ENSMUSG00000093156
mmu-mir-880	ENSMUSG00000078002
mmu-mir-7092	ENSMUSG00000106409
mmu-mir-1961	ENSMUSG00000089268
mmu-mir-7094-2	ENSMUSG00000098357
mmu-mir-6371	ENSMUSG00000099221
mmu-mir-760	ENSMUSG00000076456
mmu-mir-764	ENSMUSG00000076458
mmu-mir-509	ENSMUSG00000106233
mmu-mir-125a	ENSMUSG00000065479
mmu-mir-344d-2	ENSMUSG00000096893
mmu-mir-6979	ENSMUSG00000098706
mmu-mir-6412	ENSMUSG00000098522
mmu-mir-22	ENSMUSG00000065529
mmu-mir-467a-2	ENSMUSG00000094159
mmu-mir-467a-4	ENSMUSG00000094159
mmu-mir-467a-5	ENSMUSG00000094159
mmu-mir-467a-7	ENSMUSG00000094159
mmu-mir-467a-8	ENSMUSG00000094159
mmu-mir-467a-9	ENSMUSG00000094159
mmu-mir-7015	ENSMUSG00000106436
mmu-mir-669j	ENSMUSG00000095340
mmu-mir-7578	ENSMUSG00000098812
mmu-mir-188	ENSMUSG00000065398
mmu-mir-7647	ENSMUSG00000098951
mmu-mir-6968	ENSMUSG00000098510
mmu-mir-6941	ENSMUSG00000098338
mmu-mir-669a-4	ENSMUSG00000106027
mmu-mir-669a-5	ENSMUSG00000106027
mmu-mir-669a-6	ENSMUSG00000106027
mmu-mir-669a-7	ENSMUSG00000106027
mmu-mir-669a-8	ENSMUSG00000106027
mmu-mir-669a-9	ENSMUSG00000106027
mmu-mir-669a-10	ENSMUSG00000106027
mmu-mir-669a-11	ENSMUSG00000106027
mmu-mir-669a-12	ENSMUSG00000106027
mmu-mir-147	ENSMUSG00000076309
mmu-mir-199a-1	ENSMUSG00000065547
mmu-mir-450b	ENSMUSG00000076050
mmu-mir-883b	ENSMUSG00000078024
mmu-mir-130b	ENSMUSG00000065572
mmu-mir-3112	ENSMUSG00000093172
mmu-mir-6911	ENSMUSG00000098672
mmu-mir-3475	ENSMUSG00000093102
mmu-mir-6932	ENSMUSG00000098497
mmu-mir-6364	ENSMUSG00000098675
mmu-mir-5136	ENSMUSG00000093314
mmu-mir-7012	ENSMUSG00000099199
mmu-mir-7018	ENSMUSG00000099134
mmu-mir-125b-1	ENSMUSG00000093354
mmu-mir-8102	ENSMUSG00000098919
mmu-mir-3089	ENSMUSG00000093091
mmu-mir-326	ENSMUSG00000065571
mmu-mir-872	ENSMUSG00000077921
mmu-mir-6402	ENSMUSG00000098563
mmu-mir-129b	ENSMUSG00000106336
mmu-mir-669b	ENSMUSG00000076126
mmu-mir-8092	ENSMUSG00000099118
mmu-mir-3098	ENSMUSG00000093157
mmu-mir-412	ENSMUSG00000065570
mmu-mir-7031	ENSMUSG00000099063
mmu-mir-874	ENSMUSG00000077962
mmu-mir-6244	ENSMUSG00000099311
mmu-mir-1949	ENSMUSG00000105743
mmu-let-7g	ENSMUSG00000065440
mmu-mir-367	ENSMUSG00000065413
