miRNA id,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSMUSG00000065458,2.741039005,9.717726143,6.225403353,7.28748e-06,0.001421816,3.935162969
ENSMUSG00000065578,2.751538729,9.801838612,6.184483804,7.91363e-06,0.001421816,3.859732434
ENSMUSG00000088544,5.368602247,3.601149642,6.702397889,2.83434e-06,0.001421816,4.541509443
ENSMUSG00000065565,2.572195465,12.64090208,5.835434311,1.61289e-05,0.001738694,3.19114977
ENSMUSG00000065423,2.5818656,12.65765037,5.915776261,1.36717e-05,0.001738694,3.34965378
ENSMUSG00000076064,-4.225461163,5.017711926,-5.698489081,2.14177e-05,0.001924023,2.825272348
ENSMUSG00000065397,4.405805031,11.01535724,5.593198828,2.66782e-05,0.00205422,2.722223226
ENSMUSG00000099076,-5.901950252,4.847717582,-5.295689277,4.99767e-05,0.00298736,2.073061071
ENSMUSG00000076033|ENSMUSG00000094403,-4.868760141,5.097613602,-5.247108578,5.54241e-05,0.00298736,1.986557494
ENSMUSG00000076236,-4.796652159,3.306055,-5.34387786,4.51139e-05,0.00298736,2.122608881
ENSMUSG00000076033|ENSMUSG00000094403,-4.295667248,5.283059287,-5.136635192,7.01921e-05,0.003439412,1.779385106
ENSMUSG00000087820,-4.620834825,1.729037632,-4.763985732,0.000157134,0.007041322,1.016936348
ENSMUSG00000065551,2.642886942,9.273803448,4.72836812,0.000169828,0.007041322,0.986026315
ENSMUSG00000098839,-3.932169934,2.326037232,-4.596491636,0.000226631,0.00872528,0.695361281
ENSMUSG00000065470,3.307531313,4.085607378,4.450351439,0.000312485,0.01122862,0.424679544
ENSMUSG00000077897,-4.697979708,4.17252904,-4.295107269,0.000440213,0.014829667,0.124635917
ENSMUSG00000088478,-3.364803923,1.65605151,-4.112689858,0.000659468,0.020909021,-0.24586918
ENSMUSG00000093096,-3.892051128,5.364918047,-4.067579128,0.000728924,0.021827222,-0.327608673
ENSMUSG00000065471,1.820028935,14.42319056,4.001304476,0.00084453,0.023957978,-0.669321774
ENSMUSG00000065489,-3.746940567,8.779279958,-3.93189452,0.000985398,0.026556487,-0.657448575
ENSMUSG00000093061,-3.031749477,4.932550203,-3.899388332,0.001059247,0.027187338,-0.662212348
ENSMUSG00000098608,-4.243348261,1.251815595,-3.863932779,0.001146131,0.028080204,-0.728777343
,-3.37717248,5.499244838,-3.822152102,0.001257711,0.02947419,-0.822240603
ENSMUSG00000065604,-3.655890868,6.413124288,-3.762580028,0.001435836,0.030956633,-0.955148389
ENSMUSG00000065439,2.221546658,11.26602456,3.767844173,0.00141913,0.030956633,-1.072806301
ENSMUSG00000093912,-2.499476833,8.866626745,-3.671888494,0.00175649,0.036413396,-1.202887291
ENSMUSG00000076218,-4.585300314,2.73703918,-3.637564154,0.001895656,0.037842913,-1.173437266
ENSMUSG00000065406,1.951973844,13.50522172,3.615538562,0.001990679,0.038320574,-1.465821301
ENSMUSG00000099245,-4.702548489,2.56599878,-3.553459063,0.002284732,0.042464494,-1.33890606
ENSMUSG00000092852,-7.034792823,12.09372,-3.530873265,0.002402086,0.043157478,-1.585029197
ENSMUSG00000076240,-4.329644156,6.009195504,-3.367281515,0.003450014,0.058111177,-1.745302187
ENSMUSG00000065494,1.749395931,8.523346113,3.368367554,0.00344175,0.058111177,-1.812862352
ENSMUSG00000098353,3.081219409,0.963000514,3.342745429,0.003642017,0.059486271,-1.75108098
ENSMUSG00000105932,-3.359566099,0.403610594,-3.30864275,0.003926467,0.061429061,-1.805953551
ENSMUSG00000076387,-3.190998589,8.056853187,-3.284468932,0.004141229,0.061429061,-1.971948745
ENSMUSG00000065514,1.810179784,8.792649204,3.299809385,0.004003642,0.061429061,-1.961862824
ENSMUSG00000065610,2.003192581,10.43992084,3.27625081,0.004216837,0.061429061,-2.069977459
,-4.817547498,6.690092464,-3.241248873,0.004554337,0.06459967,-2.01311537
ENSMUSG00000092752,-2.537865733,3.896928034,-3.170453839,0.005319942,0.07168622,-2.092012706
ENSMUSG00000076062,2.520523629,13.80612993,3.176525063,0.005249624,0.07168622,-2.394298274
ENSMUSG00000065444,1.797108059,11.0970864,3.144385232,0.005632489,0.074046618,-2.367877497
ENSMUSG00000088113,2.611012148,0.430388606,3.055913251,0.006832785,0.087687409,-2.30263117
ENSMUSG00000065527,1.621335469,10.43319243,3.012180297,0.007514774,0.094196821,-2.610099799
ENSMUSG00000080468,-2.182472954,4.251099664,-2.988342368,0.007913913,0.096945435,-2.44850452
ENSMUSG00000099199,-4.299400079,2.177899607,-2.977800377,0.00809692,0.096983108,-2.4496696
ENSMUSG00000105497,1.538100866,15.6862567,2.923329464,0.009109838,0.10674354,-2.978627828
ENSMUSG00000065396,1.794213784,12.68539318,2.878520576,0.050034025,0.11507105,-2.967139733
ENSMUSG00000092813,2.511281401,0.082189879,2.851265231,0.010639767,0.119475718,-2.688572788
ENSMUSG00000092901,-3.676126435,-0.012417693,-2.819888056,0.011380781,0.120279232,-2.732772244
ENSMUSG00000098483,-3.615677821,-0.068370519,-2.824523706,0.011268258,0.120279232,-2.724279223
ENSMUSG00000099119,-2.660455328,2.652705418,-2.832201913,0.011084233,0.120279232,-2.71500722
ENSMUSG00000098751,-3.277040019,0.423354411,-2.761102275,0.0129048,0.122869722,-2.839026081
ENSMUSG00000098339,-3.209336746,1.568558681,-2.749723424,0.013221603,0.122869722,-2.862910479
ENSMUSG00000088552,-2.705880467,-0.321238678,-2.749770887,0.013220266,0.122869722,-2.867748486
ENSMUSG00000065394,1.111065333,12.17504222,2.76216991,0.012875452,0.122869722,-3.183119902
ENSMUSG00000065437,1.609627336,13.42619689,2.767152749,0.012739323,0.122869722,-3.217801884
ENSMUSG00000065422,1.717177332,14.7284214,2.751609802,0.013168573,0.122869722,-3.294067054
ENSMUSG00000065427,2.302351482,0.60383834,2.780131402,0.012391206,0.122869722,-2.820462702
ENSMUSG00000098267,-3.300790004,1.519236245,-2.729075003,0.013815609,0.126213786,-2.901254184
ENSMUSG00000098624,-3.726071202,0.818000573,-2.680089862,0.015328626,0.137702159,-2.989933433
ENSMUSG00000093710,-4.243723249,1.517332394,-2.650007801,0.016334832,0.139124155,-3.055069665
ENSMUSG00000106344,-3.652335308,-0.296304076,-2.64559962,0.016487464,0.139124155,-3.054054903
ENSMUSG00000076128,-3.381089447,0.071629839,-2.644682774,0.01651938,0.139124155,-3.053079493
ENSMUSG00000088860,2.147080152,3.012025302,2.653487865,0.016215286,0.139124155,-3.048722107
