miRNA id,logFC,AveExpr,t,P.Value,adj.P.Val,B,mature
MI0000723,2.741039005,9.717726143,6.225403353,7.28748e-06,0.001421816,3.935162969,MIMAT0000673|MIMAT0017067
MI0000823,2.751538729,9.801838612,6.184483804,7.91363e-06,0.001421816,3.859732434,MIMAT0000673_1|MIMAT0017084
MI0009934,5.368602247,3.601149642,6.702397889,2.83434e-06,0.001421816,4.541509443,MIMAT0009410
MI0000697,2.572195465,12.64090208,5.835434311,1.61289e-05,0.001738694,3.19114977,MIMAT0000210|MIMAT0000660
MI0000223,2.5818656,12.65765037,5.915776261,1.36717e-05,0.001738694,3.34965378,MIMAT0000210_1|MIMAT0005443
MI0004658,-4.225461163,5.017711926,-5.698489081,2.14177e-05,0.001924023,2.825272348,MIMAT0003469
MI0000177,4.405805031,11.01535724,5.593198828,2.66782e-05,0.00205422,2.722223226,MIMAT0000165|MIMAT0016993
MI0022920,-5.901950252,4.847717582,-5.295689277,4.99767e-05,0.00298736,2.073061071,MIMAT0028046|MIMAT0028047
MI0004661,-4.868760141,5.097613602,-5.247108578,5.54241e-05,0.00298736,1.986557494,MIMAT0003471_2
MI0004644,-4.796652159,3.306055,-5.34387786,4.51139e-05,0.00298736,2.122608881,MIMAT0003459
MI0023541,-4.295667248,5.283059287,-5.136635192,7.01921e-05,0.003439412,1.779385106,MIMAT0003471
MI0009917,-4.620834825,1.729037632,-4.763985732,0.000157134,0.007041322,1.016936348,MIMAT0009391
MI0000695,2.642886942,9.273803448,4.72836812,0.000169828,0.007041322,0.986026315,MIMAT0017052|MIMAT0000658
MI0022903,-3.932169934,2.326037232,-4.596491636,0.000226631,0.00872528,0.695361281,MIMAT0028012|MIMAT0028013
MI0000171,3.307531313,4.085607378,4.450351439,0.000312485,0.01122862,0.424679544,MIMAT0000159|MIMAT0016990
MI0005554,-4.697979708,4.17252904,-4.295107269,0.000440213,0.014829667,0.124635917,MIMAT0004940|MIMAT0017281
MI0009967,-3.364803923,1.65605151,-4.112689858,0.000659468,0.020909021,-0.24586918,MIMAT0009443
MI0016977,-3.892051128,5.364918047,-4.067579128,0.000728924,0.021827222,-0.327608673,MIMAT0019352
MI0000710,1.820028935,14.42319056,4.001304476,0.00084453,0.023957978,-0.669321774,MIMAT0017061|MIMAT0000670
MI0001645,-3.746940567,8.779279958,-3.93189452,0.000985398,0.026556487,-0.657448575,MIMAT0017179|MIMAT0000711
MI0018006,-3.031749477,4.932550203,-3.899388332,0.001059247,0.027187338,-0.662212348,MIMAT0020605
MI0022829,-4.243348261,1.251815595,-3.863932779,0.001146131,0.028080204,-0.728777343,MIMAT0027864|MIMAT0027865
MI0004696,-3.37717248,5.499244838,-3.822152102,0.001257711,0.02947419,-0.822240603,MIMAT0003502|MIMAT0003743
