# 20171213 Pull from Ensembl biomart
# Dataset: Mouse genes (GRCm38.p5)
# Filters: With miRBase ID(s): Only
# Attributes: miRBase accession
# Attributes: Gene stable ID
# miRBase accession	Gene stable ID
MI0005471	ENSMUSG00000096628
MI0000595	ENSMUSG00000065534
MI0009934	ENSMUSG00000088544
MI0022793	ENSMUSG00000098602
MI0009919	ENSMUSG00000089424
MI0022751	ENSMUSG00000098926
MI0021877	ENSMUSG00000098833
MI0008326	ENSMUSG00000084751
MI0022895	ENSMUSG00000098802
MI0021910	ENSMUSG00000098417
MI0024997	ENSMUSG00000104773
MI0026033	ENSMUSG00000098769
MI0025041	ENSMUSG00000098679
MI0004129	ENSMUSG00000076459
MI0018046	ENSMUSG00000093270
MI0023713	ENSMUSG00000106215
MI0018042	ENSMUSG00000092901
MI0000563	ENSMUSG00000065602
MI0006306	ENSMUSG00000080645
MI0000546	ENSMUSG00000065473
MI0021946	ENSMUSG00000098817
MI0014099	ENSMUSG00000093296
MI0014050	ENSMUSG00000092793
MI0000174	ENSMUSG00000065515
MI0022799	ENSMUSG00000098451
MI0009959	ENSMUSG00000088141
MI0021912	ENSMUSG00000098871
MI0003539	ENSMUSG00000078032
MI0021920	ENSMUSG00000098336
MI0014034	ENSMUSG00000070129
MI0022905	ENSMUSG00000098960
MI0022814	ENSMUSG00000098329
MI0021909	ENSMUSG00000098862
MI0014024	ENSMUSG00000092727
MI0030345	ENSMUSG00000093246
MI0009931	ENSMUSG00000087899
MI0025009	ENSMUSG00000098397
MI0021913	ENSMUSG00000099128
MI0009939	ENSMUSG00000087950
MI0026036	ENSMUSG00000104627
MI0025013	ENSMUSG00000099072
MI0004667	ENSMUSG00000076014
MI0023705	ENSMUSG00000105723
MI0018021	ENSMUSG00000092638
MI0000798	ENSMUSG00000098838
MI0004695	ENSMUSG00000076142
MI0000733	ENSMUSG00000065582
MI0000799	ENSMUSG00000065428
MI0016978	ENSMUSG00000106074
MI0021942	ENSMUSG00000098718
MI0004523	ENSMUSG00000095699
MI0021939	ENSMUSG00000099289
MI0000724	ENSMUSG00000065483
MI0018008	ENSMUSG00000092734
MI0014097	ENSMUSG00000092850
MI0009955	ENSMUSG00000087844
MI0009947	ENSMUSG00000088983
MI0003536	ENSMUSG00000076041
MI0000398	ENSMUSG00000065410
MI0022967	ENSMUSG00000104854
MI0014054	ENSMUSG00000106488
MI0014055	ENSMUSG00000106488
MI0014058	ENSMUSG00000106488
MI0014061	ENSMUSG00000106488
MI0014066	ENSMUSG00000106488
MI0014068	ENSMUSG00000106488
MI0014073	ENSMUSG00000106488
MI0014075	ENSMUSG00000106488
MI0014077	ENSMUSG00000106488
MI0024998	ENSMUSG00000098954
MI0026039	ENSMUSG00000099142
MI0000592	ENSMUSG00000065617
MI0000561	ENSMUSG00000105758
MI0010749	ENSMUSG00000089406
MI0005504	ENSMUSG00000076994
MI0000245	ENSMUSG00000065502
MI0004523	ENSMUSG00000096583
MI0021864	ENSMUSG00000098660
MI0001162	ENSMUSG00000105853
MI0000765	ENSMUSG00000070106
MI0026022	ENSMUSG00000099071
MI0018025	ENSMUSG00000092787
MI0000405	ENSMUSG00000065453
MI0022900	ENSMUSG00000099210
MI0006305	ENSMUSG00000080687
MI0022853	ENSMUSG00000105496
MI0018034	ENSMUSG00000096377
MI0014039	ENSMUSG00000093156
MI0005473	ENSMUSG00000078002
MI0022942	ENSMUSG00000106409
MI0009958	ENSMUSG00000089268
MI0022945	ENSMUSG00000098357
MI0021900	ENSMUSG00000099221
MI0004605	ENSMUSG00000076456
MI0004310	ENSMUSG00000076458
MI0005516	ENSMUSG00000106233
MI0000151	ENSMUSG00000065479
MI0004619	ENSMUSG00000096893
MI0022827	ENSMUSG00000098706
MI0021949	ENSMUSG00000098522
MI0000570	ENSMUSG00000065529
MI0014053	ENSMUSG00000094159
MI0014059	ENSMUSG00000094159
MI0014062	ENSMUSG00000094159
MI0014069	ENSMUSG00000094159
MI0014072	ENSMUSG00000094159
MI0014074	ENSMUSG00000094159
MI0022864	ENSMUSG00000106436
MI0006286	ENSMUSG00000095340
MI0024714	ENSMUSG00000098812
MI0000230	ENSMUSG00000065398
MI0024985	ENSMUSG00000098951
MI0022816	ENSMUSG00000098510
MI0022788	ENSMUSG00000098338
MI0014054	ENSMUSG00000106027
MI0014055	ENSMUSG00000106027
MI0014058	ENSMUSG00000106027
MI0014061	ENSMUSG00000106027
MI0014066	ENSMUSG00000106027
MI0014068	ENSMUSG00000106027
MI0014073	ENSMUSG00000106027
MI0014075	ENSMUSG00000106027
MI0014077	ENSMUSG00000106027
MI0005482	ENSMUSG00000076309
MI0000241	ENSMUSG00000065547
MI0004705	ENSMUSG00000076050
MI0005477	ENSMUSG00000078024
MI0000408	ENSMUSG00000065572
MI0014109	ENSMUSG00000093172
MI0022758	ENSMUSG00000098672
MI0004220	ENSMUSG00000093102
MI0022779	ENSMUSG00000098497
MI0021893	ENSMUSG00000098675
MI0018048	ENSMUSG00000093314
MI0022861	ENSMUSG00000099199
MI0022867	ENSMUSG00000099134
MI0000725	ENSMUSG00000093354
MI0026032	ENSMUSG00000098919
MI0014082	ENSMUSG00000093091
MI0000598	ENSMUSG00000065571
MI0005549	ENSMUSG00000077921
MI0021938	ENSMUSG00000098563
MI0025019	ENSMUSG00000106336
MI0004666	ENSMUSG00000076126
MI0026019	ENSMUSG00000099118
MI0014091	ENSMUSG00000093157
MI0001164	ENSMUSG00000065570
MI0022880	ENSMUSG00000099063
MI0005479	ENSMUSG00000077962
MI0021591	ENSMUSG00000099311
MI0009940	ENSMUSG00000105743
MI0000137	ENSMUSG00000065440
MI0003531	ENSMUSG00000065413
MI0000572	ENSMUSG00000065541
MI0021925	ENSMUSG00000098433
MI0008325	ENSMUSG00000084458
MI0014696	ENSMUSG00000095323
MI0004704	ENSMUSG00000076214
MI0022935	ENSMUSG00000099309
MI0000685	ENSMUSG00000065519
MI0022943	ENSMUSG00000099272
MI0005003	ENSMUSG00000076398
MI0022842	ENSMUSG00000104979
MI0003538	ENSMUSG00000076122
MI0014053	ENSMUSG00000096512
MI0014059	ENSMUSG00000096512
MI0014062	ENSMUSG00000096512
MI0014069	ENSMUSG00000096512
MI0014072	ENSMUSG00000096512
MI0014074	ENSMUSG00000096512
MI0014036	ENSMUSG00000093090
MI0022883	ENSMUSG00000099197
MI0000720	ENSMUSG00000106493
MI0004665	ENSMUSG00000070127
MI0022903	ENSMUSG00000098839
MI0000144	ENSMUSG00000065405
MI0022918	ENSMUSG00000099079
MI0003206	ENSMUSG00000070139
MI0026017	ENSMUSG00000099069
MI0000222	ENSMUSG00000065469
MI0000698	ENSMUSG00000065516
MI0000568	ENSMUSG00000065442
